repository_url,commit_sha,license,language,gpu_backend,relevant_subsystem,implementation_quality,useful_algorithm,reproducibility,benchmark_availability,integration_feasibility,reuse_status
"https://github.com/graphdeco-inria/gaussian-splatting","54c035f7834b564019656c3e3fcc3646292f727d","NOASSERTION / manual review required","Python/CUDA","CUDA","reference 3DGS training/rasterization","official reference","canonical 3DGS parameterization/densification/rendering","high with CUDA environment","standard NVS datasets","reference-only locally; CUDA unavailable on M2 Pro","do not copy until license terms are manually verified; algorithmic comparison allowed"
"https://github.com/graphdeco-inria/hierarchical-3d-gaussians","596dc7081ee74e57a66502f4746328911f763b34","NOASSERTION / manual review required","Python/CUDA","CUDA","large-scene hierarchy/LOD","official SIGGRAPH implementation","hierarchical Gaussian LOD","moderate-high","large-scene demos","algorithm/reference baseline; CUDA locally unavailable","manual license review before code reuse"
"https://github.com/isl-org/gsplat","760d963d673ccad71f53b06444a5322447e63cce","Apache-2.0","C++/Python","SYCL/Intel GPU fork of gsplat","differentiable rasterization","active optimized framework","modular rasterization/training APIs","high on supported backends","renderer/training tests","ideas/reference; direct backend mismatch with Metal","Apache-2.0 potentially reusable with attribution and compatibility review"
"https://github.com/nerfstudio-project/nerfstudio","50e0e3c70c775e89333256213363badbf074f29d","Apache-2.0","Python","CUDA/PyTorch","training/evaluation/data tooling","mature research framework","dataset, camera, evaluation and training infrastructure","high","broad","baseline/data tooling more useful than embedding","Apache-2.0 potentially reusable with attribution"
"https://github.com/ArthurBrussee/brush","5f6e45cca42e8570cf859bdd939b7d2d21c0d198","Apache-2.0","Rust","wgpu","cross-platform Gaussian reconstruction","active; already integrated/pinned by MAVEB","Gaussian training/reconstruction","high","project dependent","already a MAVEB dependency","Apache-2.0 reusable subject to notices"
"https://github.com/spla-tam/SplaTAM","da6bbcd24c248dc884ac7f49d62e91b841b26ccc","BSD-3-Clause","Python/CUDA","CUDA","RGB-D Gaussian SLAM","official CVPR code","online RGB-D Gaussian tracking/mapping","moderate","Replica/TUM-style RGB-D","external baseline; CUDA machine required","BSD-3-Clause compatible with attribution review"
"https://github.com/muskie82/MonoGS","6c9254c319d8bff5caeef65259e6bb0941a9b9f6","NOASSERTION / manual review required","Python/CUDA","CUDA","Gaussian SLAM","research reference","tracking/mapping architecture","moderate","SLAM benchmarks","external baseline","manual license review; compare results/ideas only until cleared"
"https://github.com/jan-ackermann/cl-splats","587fffc207f9c7cbb348f35e6d1d223d007eab69","NOASSERTION / manual review required","Python/CUDA","CUDA","continual local Gaussian optimization/history","official ICCV code","change detection + restricted-space update","high enough for priority baseline investigation","paper synthetic/real change datasets","must reproduce externally; local CUDA unavailable","manual license review; no code copying before clearance"
"https://github.com/VladimirYugay/GaME","1c971d65d29952789fa4a2ebb342580d41acbbff","NOASSERTION / manual review required","Python/CUDA","CUDA 11.8/12.1","evolving RGB-D Gaussian mapping","official CVPR 2026 code","dynamic scene adaptation + stale-keyframe management","paper code released","synthetic/real evolving scenes","priority external baseline; requires CUDA","manual license review; algorithmic/reference comparison allowed"
"https://github.com/scier/MetalSplatter","464eb37c55d90d7362a79120fdf8b50d4ae03296","MIT","Swift","Metal","Apple Gaussian rendering","small focused renderer","Metal platform rendering/reference I/O","high for renderer demos","limited","high as reference comparison on Apple silicon","MIT reusable with attribution"
"https://github.com/RobotFlow-Labs/gsplat-mlx","9e53709a94e9c56fb66db2708d7d728832176713","unknown / no normalized license","Python/MLX","Metal via MLX","differentiable Apple-silicon Gaussian training/rendering","active MLX port; repository reports extensive tests","MLX differentiable rasterization/training/2DGS","promising; verify locally","tests","excellent experimental comparator on Mac","no code reuse until license clarified"
"https://github.com/shg8/3DGS.cpp","8fe4b2fba09306e9fcb0308fa11c6aa7b8d0ac41","LGPL-2.1","C++","Vulkan compute","cross-platform Gaussian renderer","focused high-performance renderer","Vulkan compute rasterization","good","renderer demos","external renderer comparator; license implications for linking/code reuse","LGPL-2.1: compare externally; legal compatibility review before incorporation"
"https://github.com/kaikai23/MaskGaussian","2f581d03d9e493babf7ab31e68c40f92e591f478","NOASSERTION / manual review required","Python/CUDA","CUDA","adaptive Gaussian existence/pruning","official CVPR code","probabilistic masks/existence","research code","NVS datasets","baseline/idea comparator","manual license review"
"https://github.com/xiaobiaodu/Mobile-GS","0db844cf7cb04948916200d863a664e41b30219f","unknown / no normalized license","Python/CUDA/mobile runtime","mobile-oriented","mobile compression/rendering","official ICLR 2026 code","mobile Gaussian compression/rendering","research code","paper benchmarks","secondary efficiency comparator","no code reuse until license clarified"
"https://github.com/SJTU-MVCLab/SeeLe","dea41bd0afedfa8d6810f67ffc6d71eaa3b517cb","MIT","Python/CUDA","GPU/mobile","mobile Gaussian acceleration","official CVPR 2026 code","hybrid preprocessing + contribution-aware rasterization","research code","paper mobile benchmarks","secondary baseline; algorithm comparison","MIT reusable with attribution and dependency review"
"https://github.com/mkjjang3598/LTGS","bba8beefc11ef524cf3dc947617298f748ec4f8d","no root LICENSE file observed; manual review required","Python/CUDA research stack","CUDA","long-term Gaussian chronology, sparse revisit updates, instance/template tracking","official CVPR 2026 Findings code; explicit multi-stage update scripts and dataset support","localization -> change detection -> instance matching -> point-cloud initialization -> long-term Gaussian update","official code and five-scene dataset exposed; dependency stack includes MASt3R/TEASER++/3DGS components","LTGS five-scene indoor multi-timestep sparse-view dataset and evaluation script","strong external baseline for chronology/change experiments; CUDA-only locally, so use as reference/external reproducibility target rather than pretending Metal equivalence","no code reuse until license/dependency licenses are manually cleared"
"https://github.com/euleriansplatting/eulerian-splatting","8b6874bb0edb96fd5b026e7c4cbb81f908ff0cdc","no root LICENSE file observed; manual review required","Python/CUDA","CUDA 12.1","resampling-stable Gaussian generation from persistent volumetric probability density","official CVPR 2026 code release","hashed probability pyramid, unbiased density-gradient optimization, Gaussian resampling","README specifies Python 3.9, PyTorch 2.4.1, CUDA 12.1 and H200-tested setup","standard NVS reconstruction pipeline including mip-NeRF 360 reported by paper/project","conceptual/algorithmic baseline for S4; external CUDA reproduction where compute is available","no code reuse until repository license is clarified"
"https://github.com/heyicheng-never/VG-Mapping","8f7de4fcbc04aae1c33f1c8ac4914333e60afe8b","no root LICENSE file observed; manual review required","repository currently exposes README + supplementary material; implementation code not yet released","not inspectable from repository at pinned SHA","semi-static RGB-D benchmark, TSDF-assisted changed-region detection, hybrid TSDF+3DGS update baseline","official paper repository but README marks code release incomplete","paper-level TSDF-assisted variation detection and variation-aware Gaussian density control; code unavailable for implementation audit","dataset available; method code unavailable at pinned SHA","VG-Scene: 6 synthetic + 3 real pre/post-change RGB-D sequences","high-value dataset/direct baseline once official code is released; currently literature/dataset comparator only","no code present to reuse; no reuse until code and license are released/verified"
